Easting,Northing,Elevation,Alteration,Cu,Au,Mo,As,Bn,Cp,Cc,Cv,En,Py,Pyr,Mol,Ga,Sph,TS
650786.93,4766164.23,249.18,5,0.78,0.23,28.4,26.4,0,6000,0,0,0,14000,0,0,0,0,20000
650790.15,4766164.43,241.86,5,0.59,0.3,71.9,3.8,0,5800,0,0,0,14000,0,200,0,0,20000
650792.6,4766164.61,236.38,5,0.38,0.26,7.41,2.8,0,6000,0,0,0,14000,0,0,0,0,20000
650799.1,4766165.09,221.77,5,0.8,0.5,15.6,10.9,0,15000,0,0,0,35000,0,0,0,0,50000
650800.73,4766165.21,218.12,5,0.35,0.33,6.47,2.7,0,11200,0,0,0,28000,0,800,0,0,40000
650814.71,4766166.4,187.15,5,0.25,0.22,8.44,3.9,1350,11250,0,0,0,31500,0,900,0,0,45000
650823.86,4766167.22,167.16,5,0.38,0.19,6.52,4.1,600,7500,0,0,0,21000,0,900,0,0,30000
650827.2,4766167.52,159.9,5,0.39,0.17,13.15,2.8,600,5400,0,0,0,14000,0,0,0,0,20000
650828.04,4766167.6,158.08,5,0.33,0.29,14.05,4.3,1200,7500,0,0,0,21000,0,300,0,0,30000
650828.87,4766167.67,156.27,5,0.38,0.19,12.9,3.2,1500,7500,0,0,0,21000,0,0,0,0,30000
650839.77,4766168.74,132.69,5,0.48,0.19,8.72,2.6,1000,5000,0,0,0,14000,0,0,0,0,20000
650862.55,4766171.14,83.78,5,0.42,0.45,10.45,1.6,1500,7500,0,0,0,21000,0,0,0,0,30000
650866.76,4766171.59,74.72,5,0.7,0.29,53.4,3.7,2400,6000,0,0,0,21000,0,600,0,0,30000
650964.47,4766181.62,-139.86,5,0.38,0.09,47.6,7.2,0,9000,0,0,0,21000,0,0,0,0,30000
650970.18,4766182.19,-152.63,5,0.28,0.36,15.7,9.2,0,6000,0,0,0,14000,0,0,0,0,20000
650995.3,4766184.96,-209.24,5,0.21,0.05,11.2,6.3,0,9000,0,0,0,21000,0,0,0,0,30000
651003.36,4766185.75,-227.53,5,0.26,0.38,35.4,7.9,0,5000,0,0,0,14000,0,1000,0,0,20000
651004.97,4766185.91,-231.19,5,0.3,0.05,16.75,3.5,0,3000,0,0,0,7000,0,0,0,0,10000
651005.77,4766185.99,-233.02,5,0.31,0.05,20.6,4,0,3000,0,0,0,7000,0,0,0,0,10000
651014.63,4766186.86,-253.13,5,0.14,0.07,35.6,7.6,0,3000,0,0,0,10500,0,1500,0,0,15000
